id,username,first_name,phone_number
1,user1,Aidos,+77011234567
2,user2,Diana,+77021234568
3,user3,Ermek,+77031234569
4,user4,Lana,+77041234560
5,user5,Marat,+77051234561
6,user6,Saniya,+77061234562
7,user7,Talgat,+77071234563
8,user8,Zarina,+77081234564
9,user9,Kanat,+77091234565
10,user10,Alina,+77101234566
11,user11,Bulat,+77111234567
12,user12,Kamila,+77121234568
13,user13,Nurbol,+77131234569
14,user14,Saida,+77141234560
15,user15,Azamat,+77151234561
16,user16,Mariya,+77161234562
17,user17,Erzhan,+77171234563
18,user18,Liliya,+77181234564
19,user19,Samat,+77191234565
20,user20,Ainur,+77201234566
